city,lat,long,make,mileage,model,price,province,sepc,year
Brossard,45.4554829,-73.4678904,MINI,59789,MINI Cooper,16495,Québec,MINI Cooper Countryman S ALL4 ,2015
Montréal,45.4972159,-73.6103642,MINI,68655,MINI Cooper,19587,Québec,MINI Cooper Hardtop S ,2015
Markham,43.854336,-79.326782,MINI,70418,MINI COOPER,16869,Ontario,MINI COOPER S 5 Door Essential pkg,2015
Winnipeg,49.884017,-97.168579,MINI,41000,MINI Cooper,19980,Manitoba,MINI Cooper Countryman ALL4 S ,2015
St-Hubert,46.501891,-64.025032,MINI,40120,MINI Cooper,15999,Prince Edward Island,MINI Cooper CUIR TOIT PANO MAGS,2015
Toronto,43.653963,-79.387207,MINI,44105,MINI Cooper,19960,Ontario,MINI Cooper S Countryman ALL4,2015
Stoney Creek,43.217687,-79.758682,MINI,69473,MINI Cooper,15999,Ontario,MINI Cooper Hardtop Leather,2015
Toronto,43.653963,-79.387207,MINI,14168,MINI Cooper,19910,Ontario,MINI Cooper S Countryman ALL4,2015
Calgary,51.02532675,-114.049868485806,MINI,38148,MINI Cooper,16888,Alberta,MINI Cooper 5 Door 0.99% for up to 60 Months OAC!,2015
Toronto,43.653963,-79.387207,MINI,46892,MINI Cooper,19910,Ontario,MINI Cooper S Countryman ALL4,2015
Calgary,51.02532675,-114.049868485806,MINI,47638,MINI Cooper,16888,Alberta,MINI Cooper 5 Door Low kms,2015
Ottawa,45.421106,-75.690308,MINI,90121,MINI COOPER,16888,Ontario,MINI COOPER S S ALL4 6 SPEED MANUAL PANOR. ROOF .,2015
Vancouver,49.2608724,-123.1139529,MINI,72849,MINI Cooper,19900,British Columbia,MINI Cooper S Countryman,2015
Dieppe,46.0945258,-64.7354772,MINI,83066,MINI Cooper,19900,New Brunswick,MINI Cooper S Countryman ALL4,2015
Laval,45.60558895,-73.7344173056906,MINI,50797,MINI Cooper,16293,Québec,MINI Cooper Hardtop S TURBO NAVIGATION - Toit Ouvrant - A,2015
Montréal,45.4972159,-73.6103642,MINI,47008,MINI Cooper,19247,Québec,MINI Cooper Countryman S ,2015
Ottawa,45.421106,-75.690308,MINI,43368,MINI Cooper,16995,Ontario,MINI Cooper AUTOMATIC PANORAMIC ROOF.,2015
Brossard,45.4554829,-73.4678904,MINI,89477,MINI Cooper,14998,Québec,MINI Cooper Hardtop S ,2015
Laval,45.60558895,-73.7344173056906,MINI,68672,MINI Cooper,14999,Québec,MINI Cooper 5 PORTES A,2015
La Prairie,45.4174659,-73.4891644,MINI,78886,MINI Cooper,16995,Québec,MINI Cooper Countryman ALL4 ESSENTIAL CUIR,2015
Calgary,51.02532675,-114.049868485806,MINI,56000,MINI Cooper,16995,Alberta,MINI Cooper Hardtop 3dr LEATHER ,2015
Mississauga,43.590338,-79.645729,MINI,79973,MINI 5,14995,Ontario,MINI 5 Door Cooper PANOROOF,2015
Toronto,43.653963,-79.387207,MINI,26903,MINI 5,17260,Ontario,MINI 5 Door Cooper,2015
La Prairie,45.4174659,-73.4891644,MINI,51325,MINI Cooper,18995,Québec,MINI Cooper Countryman S,2015
Toronto,43.653963,-79.387207,MINI,32190,MINI 3,17220,Ontario,MINI 3 Door Cooper,2015
Toronto,43.653963,-79.387207,MINI,77317,MINI 3,16510,Ontario,MINI 3 Door Cooper,2015
Ste-Julie,45.5930624,-73.3395943,MINI,51325,MINI Cooper,18995,Québec,MINI Cooper Countryman S,2015
Sainte-Julie,45.5930624,-73.3395943,MINI,51325,MINI Cooper,18995,Québec,MINI Cooper Countryman S,2015
St-Hubert,46.501891,-64.025032,MINI,72774,MINI Cooper,16999,Prince Edward Island,MINI Cooper S CUIR TOIT PANO MAGS,2015
Laval,45.60558895,-73.7344173056906,MINI,47200,MINI Cooper,15150,Québec,MINI Cooper Hardtop Cooper GROUPE ESSENTIEL,2015
Markham,43.854336,-79.326782,MINI,63214,MINI Cooper,15200,Ontario,MINI Cooper 5 Door ESSENTIALS PKG,2015
Toronto,43.653963,-79.387207,MINI,50438,MINI Cooper,20850,Ontario,MINI Cooper S Countryman ALL4,2015
Toronto,43.653963,-79.387207,MINI,27137,MINI 3,15510,Ontario,MINI 3 Door Cooper,2015
Toronto,43.653963,-79.387207,MINI,92101,MINI Cooper,15588,Ontario,MINI Cooper 3 Door Cooper S w,2015
Toronto,43.653963,-79.387207,MINI,48065,MINI 3,15710,Ontario,MINI 3 Door Cooper,2015
Calgary,51.02532675,-114.049868485806,MINI,66975,MINI Cooper,20888,Alberta,MINI Cooper S Countryman ALL4,2015
La Prairie,45.4174659,-73.4891644,MINI,92683,MINI Cooper,15795,Québec,MINI Cooper Countryman ALL4  ,2015
Laval,45.60558895,-73.7344173056906,MINI,92683,MINI Cooper,15795,Québec,MINI Cooper Countryman ALL4  ,2015
Sainte-Julie,45.5930624,-73.3395943,MINI,92683,MINI Cooper,15795,Québec,MINI Cooper Countryman ALL4  ,2015
Brossard,45.4554829,-73.4678904,MINI,79106,MINI Cooper,15798,Québec,MINI Cooper Countryman S ,2015
Montréal,45.4972159,-73.6103642,MINI,28623,MINI Cooper,15747,Québec,MINI Cooper Hardtop TOIT PANORAMIQUE ,2015
Montréal,45.4972159,-73.6103642,MINI,53101,MINI Cooper,15447,Québec,MINI Cooper Hardtop 5 DOOR ,2015
Montréal,45.4972159,-73.6103642,MINI,40000,MINI Cooper,15487,Québec,MINI Cooper Hardtop TOIT PANORAMIQUE ,2015
Sainte-Julie,45.5930624,-73.3395943,MINI,78886,MINI Cooper,16995,Québec,MINI Cooper Countryman ALL4 ESSENTIAL CUIR ,2015
Ottawa,45.421106,-75.690308,MINI,23129,MINI 3,20900,Ontario,MINI 3 Door COOPER S -LEATHER-PANO-ONLY 23K,2015
Saint-Jérôme,45.775426,-74.013176,MINI,80894,MINI Cooper,15490,Québec,MINI Cooper Countryman S ALL4 AWD ,2015
Saint-Jérôme,45.775426,-74.013176,MINI,83715,MINI Cooper,15490,Québec,MINI Cooper Countryman S ALL4 ,2015
Laval,45.60558895,-73.7344173056906,MINI,78886,MINI Cooper,16995,Québec,MINI Cooper Countryman ALL4 ESSENTIAL CUIR ,2015
