city,lat,long,make,mileage,model,price,province,sepc,year
Scarborough,43.773077,-79.257774,BMW,144120,BMW 5,5995,Ontario,BMW 5 Series 525i,2006
Vancouver,49.2608724,-123.1139529,BMW,112060,BMW M,19980,British Columbia,BMW M M5 - Service Records,2006
Toronto,43.653963,-79.387207,BMW,180162,BMW 325,5395,Ontario,BMW 325 325I - AS IS,2006
Truro,45.366668,-63.300006,BMW,190000,BMW 3,5500,Nova Scotia,BMW 3 Series 330xi Sedan,2006
North York,43.7708175,-79.4132998,BMW,167344,BMW 3,5800,Ontario,BMW 3 Series 323i RWD,2006
Newmarket,44.056258,-79.461708,BMW,112105,BMW M,24395,Ontario,BMW M Roadster -Prem PKG,2006
Woodbridge,43.7848982,-79.5923855,BMW,55523,BMW M5,32880,Ontario,BMW M5,2006
London,42.9537654,-81.2291529,BMW,130358,BMW 5,6495,Ontario,BMW 5 Series 530i,2006
Toronto,43.653963,-79.387207,BMW,236000,BMW X5,4488,Ontario,BMW X5 4.4i,2006
North York,43.7708175,-79.4132998,BMW,175280,BMW X5,8380,Ontario,BMW X5 AWD3.0siNaviCameraPano Sunroof,2007
North Vancouver,49.3207133,-123.0737831,BMW,159900,BMW X5,9980,British Columbia,BMW X5 3.0si 7 Passenger AWD,2007
Markham,43.854336,-79.326782,BMW,125095,BMW 6,22010,Ontario,BMW 6 Series Coupe 6sp Manual,2007
Mississauga,43.590338,-79.645729,BMW,176563,BMW X5,9745,Ontario,BMW X5 4.8i - 7 Pass ,2007
Thetford Mines,46.091329,-71.30127,BMW,204654,BMW 3,7995,Québec,BMW 3 Series 2dr Cabriolet 328i RWD,2007
Toronto,43.653963,-79.387207,BMW,172291,BMW X5,7995,Ontario,BMW X5 3.0si,2007
Mississauga,43.590338,-79.645729,BMW,145215,BMW 328,4490,Ontario,BMW 328 xi,2007
Toronto,43.653963,-79.387207,BMW,199918,BMW 323I,5500,Ontario,BMW 323I Special Price Offer ..!,2007
Moncton,46.097995,-64.80011,BMW,173000,BMW 335i,8799,New Brunswick,BMW 335i i,2007
Toronto,43.653963,-79.387207,BMW,148000,BMW X5,10999,Ontario,BMW X5 4.8i PANORAMIC SUNROOF,2007
North York,43.7708175,-79.4132998,BMW,213000,BMW X3,4888,Ontario,BMW X3 AWD 3.0i Panoramic Roof,2007
Toronto,43.653963,-79.387207,BMW,102421,BMW X3,8984,Ontario,BMW X3 3.0si,2007
Calgary,51.02532675,-114.049868485806,BMW,135695,BMW 328,9995,Alberta,BMW 328 xi AWD PREMIUM ,2007
Toronto,43.653963,-79.387207,BMW,217712,BMW 5,4995,Ontario,BMW 5 Series 4dr Sdn 530xi AWD,2007
Edmonton,53.535411,-113.507996,BMW,92707,BMW 3,14790,Alberta,BMW 3 Series 335i ....6 SPEED MANUAL....IMPOSSIBLE TO FIND - No,2007
Calgary,51.02532675,-114.049868485806,BMW,96726,BMW 335i,14888,Alberta,BMW 335i i ,2007
North York,43.7708175,-79.4132998,BMW,209618,BMW 5,5999,Ontario,BMW 5 Series 530i  NAVi,2007
Unionville,43.8686533,-79.3119155,BMW,267330,BMW 328,2995,Ontario,BMW 328 Sedan,2007
Richmond,49.163168,-123.137414,BMW,153800,BMW 3,6950,British Columbia,BMW 3 Series BMW 3 series 323i-custom wheels! 1 year warranty!,2007
Mississauga,43.590338,-79.645729,BMW,184797,BMW 525I,6745,Ontario,BMW 525I 525i - Premium ,2007
