city,lat,long,make,mileage,model,price,province,sepc,year
Jarvis,42.8844706,-80.1139414,Ford,141795,Ford Explorer,4995,Ontario,Ford Explorer XLT 4X4,2003
Brampton,43.6858146,-79.7599337,Ford,68897,Ford Mustang,17888,Ontario,Ford Mustang GT 2Dr Convertible,2003
St-Esprit,45.898371,-73.666077,Ford,193100,Ford Ranger,3999,Québec,Ford Ranger fx4 level 2 4x4,2003
Edmonton,53.535411,-113.507996,Ford,115275,Ford Mustang,7500,Alberta,Ford Mustang V6 ,2003
Châteauguay,45.3619066,-73.7524319,Ford,288798,Ford Explorer,3487,Québec,Ford Explorer Eddie Bauer,2003
Verona,44.4784887,-76.6958284,Ford,301324,Ford Explorer,1900,Ontario,Ford Explorer XLT 4WD - AS TRADED,2003
St George,45.1275604,-66.8269836,Ford,34786,Ford Mustang,17988,New Brunswick,Ford Mustang GT Convertible V8 5spd leather mach sound,2004
Unionville,43.8686533,-79.3119155,Ford,125000,Ford F-150,5995,Ontario,Ford F-150 XLT,2004
Campbell River,50.023071,-125.2441538,Ford,251280,Ford F-150,9995,British Columbia,Ford F-150 Lariat,2004
Surrey,49.1913033,-122.8491439,Ford,131253,Ford Mustang,7995,British Columbia,Ford Mustang,2004
Ottawa,45.421106,-75.690308,Ford,250134,Ford F-250,950,Ontario,Ford F-250 XL - AS IS - FOR PARTS,2004
Montréal,45.4972159,-73.6103642,Ford,125652,Ford Mustang,4987,Québec,Ford Mustang Cabriolet 2 portes,2004
Burnaby,49.2433804,-122.9725459,Ford,273661,Ford Ranger,5500,British Columbia,Ford Ranger Edge Plus,2004
St George,45.1275604,-66.8269836,Ford,34786,Ford Mustang,17988,New Brunswick,Ford Mustang GT Convertible V8 5spd leather mach sound,2004
Gatineau,45.457241,-75.723267,Ford,165689,Ford Focus,1294,Québec,Ford Focus ZX4 SE,2005
Calgary,51.02532675,-114.049868485806,Ford,78918,Ford F-350,36900,Alberta,Ford F-350 REAL LIFE MONSTER TRUCK,2005
Campbell River,50.023071,-125.2441538,Ford,187747,Ford Explorer,9995,British Columbia,Ford Explorer Sport Trac XLT,2005
Gatineau,45.457241,-75.723267,Ford,287,Ford Mustang,20000,Québec,Ford Mustang V6 -WOW ONLY,2005
St Thomas,42.7792897,-81.1832518,Ford,124573,Ford Ranger,3500,Ontario,Ford Ranger XLT AS IS,2005
Surrey,49.1913033,-122.8491439,Ford,223000,Ford Freestyle,6995,British Columbia,Ford Freestyle Limited,2005
