city,lat,long,make,mileage,model,price,province,sepc,year
Brossard,45.4554829,-73.4678904,Audi,130933,Audi Q5,19498.0,Québec,Audi Q5 2.0 Progressiv ,2014
Québec,52.4760892,-71.8258668,Audi,71500,Audi A4,24995.0,Québec,Audi A4 Certifié Audi,2015
Lévis,46.7910096,-71.1753274,Audi,97565,Audi A3,15308.0,Québec,Audi A3 1.8T Komfort ADMISSIBLE 6 ANS 160 000KM,2015
Mississauga,43.590338,-79.645729,Audi,62682,Audi Q3,24888.0,Ontario,Audi Q3 2.0T Technik Fronttrak Bose,2015
Calgary,51.02532675,-114.049868485806,Audi,64775,Audi A4,24995.0,Alberta,Audi A4 2.0T S-LINE PKG QUATTRO AWD ,2015
Saint-Laurent,45.5032702,-73.7254477,Audi,39981,Audi Q7,34995.0,Québec,Audi Q7 S-LINE NAVIGATION PANO ROOF ,2015
Mississauga,43.590338,-79.645729,Audi,58637,Audi Q3,24980.0,Ontario,Audi Q3 2.0T Technik,2015
Vancouver,49.2608724,-123.1139529,Audi,83646,Audi Q5,24888.0,British Columbia,Audi Q5 ONE OWNER ,2015
North York,43.7708175,-79.4132998,Audi,55000,Audi Q7,38888.0,Ontario,Audi Q7 TDI,2015
Guelph,43.533783,-80.2306337,Audi,60300,Audi A4,24995.0,Ontario,Audi A4 2015 Audi A4 -Sdn Auto Progressiv plus quattro Nav,2015
North York,43.7708175,-79.4132998,Audi,82000,Audi Q7,34988.0,Ontario,Audi Q7 SPORT,2015
Saint-Laurent,45.5032702,-73.7254477,Audi,69707,Audi A4,24895.0,Québec,Audi A4 S-LINE PROGRESSIV NAVIGATION,2015
Charlemagne,45.72551965,-73.4896922220162,Audi,75230,Audi A5,34895.0,Québec,Audi A5 Progressiv S-Line Convertible,2015
Edmonton,53.535411,-113.507996,Audi,57294,Audi Q3,24964.0,Alberta,Audi Q3 Technik,2015
Winnipeg,49.884017,-97.168579,Audi,44050,Audi Q3,24991.0,Manitoba,Audi Q3 2.0T Progressiv Sensors,2015
Edmonton,53.535411,-113.507996,Audi,87440,Audi SQ5,34900.0,Alberta,Audi SQ5 3.0T Progressiv Quattro 8sp Tiptronic,2015
Toronto,43.653963,-79.387207,Audi,104000,Audi A5,21950.0,Ontario,Audi A5 Progressiv,2015
Dollard-Des Ormeaux,45.48423,-73.8064547,Audi,74200,Audi A3,24995.0,Québec,Audi A3 KOMFORT QUATTRO CABRIOLET,2015
Woodbridge,43.7848982,-79.5923855,Audi,80000,Audi A7,38888.0,Ontario,Audi A7 S Line Technik,2015
Calgary,51.02532675,-114.049868485806,Audi,79605,Audi A4,24995.0,Alberta,Audi A4 Progressiv plus,2015
Charlemagne,45.72551965,-73.4896922220162,Audi,75230,Audi A5,34895.0,Québec,Audi A5 Progressiv S-Line Convertible,2015
