city,lat,long,make,mileage,model,price,province,sepc,year
Brantford,43.1554354,-80.2665916,Kia,125599,Kia Soul,4995,Ontario,Kia Soul 2U MANNUAL,2010
Stratford,46.2189935,-63.0876534061131,Kia,125599,Kia Soul,4995,Prince Edward Island,Kia Soul 2U MANNUAL,2010
Windsor,42.30423,-83.029861,Kia,125599,Kia Soul,4995,Ontario,Kia Soul 2U MANNUAL,2010
Calgary,51.02532675,-114.049868485806,Kia,94609,Kia Soul,9780,Alberta,Kia Soul 4U HEATED SEATS SUNROOF BLUETOOTH MAG WHEELS FOG L,2010
Granby,45.3990409,-72.721834,Kia,189617,Kia Rondo,4690,Québec,Kia Rondo EX-V6 ,2010
Calgary,51.02532675,-114.049868485806,Kia,134549,Kia Soul,9995,Alberta,Kia Soul 4u,2011
Blainville,45.67932,-73.87619,Kia,133000,Kia Sorento,9495,Québec,Kia Sorento V-6 AWD DÉMARREUR DIST. ATTACHE REMORQUE,2011
Longueuil,45.5172382,-73.4467466,Kia,57300,Kia Rondo,7985,Québec,Kia Rondo 4dr Wgn I4 EX ,2011
Drummondville,45.8864303,-72.5018764,Kia,170068,Kia Sorento,7764,Québec,Kia Sorento EX V6 ,2011
Granby,45.3990409,-72.721834,Kia,90828,Kia Optima,7984,Québec,Kia Optima EX Jamais Accidenté Cuir Caméra DE Recul Mags,2011
Winnipeg,49.884017,-97.168579,Kia,109000,Kia Rondo,7980,Manitoba,Kia Rondo 4dr Wgn I4 EX w-3rd Row ,2011
Whitby,43.899871,-78.940201,Kia,137190,Kia Optima,7746,Ontario,Kia Optima LX,2011
Thetford Mines,46.091329,-71.30127,Kia,79545,Kia Optima,9995,Québec,Kia Optima 2011 Kia Optima - 4dr Sdn EX LUXURY,2011
Markham,43.854336,-79.326782,Kia,130994,Kia Sportage,9995,Ontario,Kia Sportage EX,2011
Salaberry-De-Valleyfield,45.2555625,-74.1316153,Kia,82410,Kia Soul,7911,Québec,Kia Soul 2u,2011
Chatham,42.405207,-82.191467,Kia,135067,Kia Soul,7915,Ontario,Kia Soul 2.0L 4u,2011
Halifax,44.8543667,-63.137798,Kia,153919,Kia Sportage,7888,Nova Scotia,Kia Sportage,2011
Magog,45.265463,-72.147903,Kia,210400,Kia Sportage,7950,Québec,Kia Sportage LX AWD Sieges Chauffants Bluetooth,2011
Trois-Rivières,46.3507999,-72.5571257,Kia,136615,Kia Sportage,11495,Québec,Kia Sportage EX AVEC GROUPE DE LUXE,2011
Victoria,48.4283182,-123.3649533,Kia,106881,Kia Rondo,9995,British Columbia,Kia Rondo EX- Bluetooth Heated Seats AC,2011
Victoria,48.4283182,-123.3649533,Kia,105254,Kia Forte,9995,British Columbia,Kia Forte 5-Door SX- Bluetooth Heated Front Seats Sunroof,2011
North York,43.7708175,-79.4132998,Kia,68510,Kia Sorento,11480,Ontario,Kia Sorento LX  Super Low KMs  Bluetooth Alloy  Heated Seat,2011
Kingston,44.3054151,-76.4283781,Kia,142590,Kia Optima,7585,Ontario,Kia Optima LX - SEAT HEAT,2011
