city,lat,long,make,mileage,model,price,province,sepc,year
Charlesbourg,46.8958611,-71.2910300583245,Jeep,177809,Jeep Grand,5850,Québec,Jeep Grand Cherokee Laredo,2008
Winnipeg,49.884017,-97.168579,Jeep,172000,Jeep WRANGLER,22800,Manitoba,Jeep WRANGLER UNLIMITED Unlimited - Huge Lift!  Fully Custom!!,2008
Calgary,51.02532675,-114.049868485806,Jeep,212216,Jeep Wrangler,12888,Alberta,Jeep Wrangler Unlimited Sahara,2008
Fort Macleod,49.7257568,-113.4053475,Jeep,167005,Jeep Wrangler,18889,Alberta,Jeep Wrangler 2008 Jeep Wrangler - 4WD 4dr Unlimited X,2008
Granby,45.3990409,-72.721834,Jeep,243930,Jeep Grand,6490,Québec,Jeep Grand Cherokee North ,2008
Ottawa,45.421106,-75.690308,Jeep,199620,Jeep Wrangler,12888,Ontario,Jeep Wrangler Sahara,2008
Trois-Rivières,46.3507999,-72.5571257,Jeep,104345,Jeep Wrangler,18877,Québec,Jeep Wrangler SAHARA UNLIMITED 4X4 DEMARREUR A,2008
Windsor,42.30423,-83.029861,Jeep,172621,Jeep Grand,10999,Ontario,Jeep Grand Cherokee Limited,2008
St-Esprit,45.898371,-73.666077,Jeep,166200,Jeep Grand,9999,Québec,Jeep Grand Cherokee Limited gps toit diesel,2008
St-Jérôme,45.775426,-74.013176,Jeep,118152,Jeep Compass,3995,Québec,Jeep Compass Sport,2008
Windsor,42.30423,-83.029861,Jeep,143769,Jeep Compass,6999,Ontario,Jeep Compass Sport Annual Clearance Sale!,2008
Charlottetown,46.234953,-63.132935,Jeep,180000,Jeep Compass,2590,Prince Edward Island,Jeep Compass Limited THIS WHOLESALE WILL BE SOLD AS-TRADED!,2008
Vancouver,49.2608724,-123.1139529,Jeep,184994,Jeep Patriot,6995,British Columbia,Jeep Patriot Sport,2008
London,42.9537654,-81.2291529,Jeep,156253,Jeep Liberty,6995,Ontario,Jeep Liberty Sport,2008
